title,release_date,sentiment
Unholy Heights,2013-08-16,Very Positive
Hate Plus Original Soundtrack,2013-08-19,9 user reviews
Mark of the Ninja: Special Edition DLC,2013-08-16,Very Positive
Forge - PvP Pro Pack,2013-08-19,nan
Forge - Divine Starter Pack,2013-08-19,nan
Forge - Limited Edition Starter Pack,2013-08-19,nan
Forge - Starter Pack,2013-08-19,Negative
Hate Plus,2013-08-19,Very Positive
A-10A for DCS World,2013-08-19,Mixed
Saints Row IV: The Executive Privilege Pack,2013-08-19,Mixed
The Bureau: XCOM Declassified,2013-08-19,Mixed
Saints Row IV: Season Pass,2013-08-19,Very Positive
Saints Row IV,2013-08-19,Very Positive
Divekick,2013-08-20,Very Positive
Tom Clancy’s Splinter Cell Blacklist,2013-08-20,Very Positive
Dungeons &amp; Dragons Online: Shadowfell Conspiracy,2013-08-20,6 user reviews
COH 2 - Faceplate: Twisted Gold,2013-08-21,1 user reviews
COH 2 - Faceplate: Studded,2013-08-21,2 user reviews
COH 2 - Faceplate: Engraved,2013-08-21,nan
Tom Clancy’s Splinter Cell Blacklist - High Power Pack DLC,2013-08-20,Mixed
COH 2 - Faceplate: Chainlink,2013-08-21,nan
Call of Duty®: Black Ops II - Breach Personalization Pack,2013-08-22,5 user reviews
Call of Duty®: Black Ops II - Aqua Personalization Pack,2013-08-22,Positive
Call of Duty®: Black Ops II - Pack-A-Punch Personalization Pack,2013-08-22,Positive
Call of Duty®: Black Ops II - Coyote Personalization Pack,2013-08-22,3 user reviews
Call of Duty®: Black Ops II - Glam Personalization Pack,2013-08-22,5 user reviews
Sanctum 2: Britech Skin Pack,2013-08-07,Mostly Positive
Skullgirls: Squigly,2013-08-22,Very Positive
Skullgirls,2013-08-22,Overwhelmingly Positive
Spelunky,2013-08-08,Very Positive
"Papers, Please",2013-08-08,Overwhelmingly Positive
Guacamelee! Gold Edition,2013-08-08,Very Positive
Call of Duty®: Black Ops II - Rogue Personalization Pack,2013-08-22,9 user reviews
Europa Universalis IV,2013-08-13,Very Positive
Guncraft,2013-08-09,Mixed
Hammerwatch,2013-08-12,Very Positive
PAYDAY 2: The Official Soundtrack,2013-08-13,Very Positive
nan,nan,Very Positive
Soldier Front 2: Hunter's Hunt Package,2013-07-23,4 user reviews
Soldier Front 2: The Booster Package,2013-07-23,nan
Teleglitch: Die More Edition,2013-07-24,Very Positive
Train Simulator: Hamburg-Hanover Route Add-On,2013-07-24,Positive
Indie Game: The Movie Special Edition DLC,2013-07-24,Positive
Tropico 4: Voodoo DLC,2013-07-25,Positive
Magic 2014 “Sliver Hive” Deck Key,2013-06-26,1 user reviews
Magic 2014 “Guardians of Light” Deck Key,2013-06-26,nan
Magic 2014 “Chant of Mul Daya” Deck Key,2013-06-26,nan
Magic 2014 “Deadwalkers” Deck Key,2013-06-26,nan
Magic 2014 “Mind Maze” Deck Key,2013-06-26,nan
Dungeon Defenders - The Tinkerer's Lab Mission Pack,2013-06-26,9 user reviews
Magic 2014 “Sliver Hive” Foil Conversion,2013-06-26,1 user reviews
Magic 2014 “Deadwalkers” Foil Conversion,2013-06-26,nan
Magic 2014 “Chant of Mul Daya” Foil Conversion,2013-06-26,nan
Magic 2014 “Masks of the Dimir” Foil Conversion,2013-06-26,nan
Magic 2014 “Avacyn’s Glory” Foil Conversion,2013-06-26,nan
Magic 2014 “Enter the Dracomancer” Foil Conversion,2013-06-26,nan
Magic 2014 “Firewave” Foil Conversion,2013-06-26,nan
Sealed Play Deck - Slot 03,2013-06-26,1 user reviews
Magic 2014 — Duels of the Planeswalkers,2013-06-26,Very Positive
Magic 2014 “Hunter’s Strength” Foil Conversion,2013-06-26,nan
Magic 2014 “Avacyn’s Glory” Deck Key,2013-06-26,1 user reviews
Magic 2014 “Hunter’s Strength” Deck Key,2013-06-26,3 user reviews
Magic 2014 “Guardians of Light” Foil Conversion,2013-06-26,1 user reviews
Super Splatters,2013-06-26,Positive
The Incredible Adventures of Van Helsing: Blue Blood,2013-06-27,Positive
Train Simulator: DB BR232 Loco Add-On,2013-06-27,Positive
Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded,2013-06-27,Very Positive
Rogue Legacy,2013-06-27,Very Positive
Storm,2013-06-27,Mixed
Fallen Enchantress: Legendary Heroes - Quest Pack DLC,2013-06-27,3 user reviews
GRID 2 - Super Modified Pack,2013-06-27,Positive
Jack Keane 2 - The Fire Within,2013-06-28,Mostly Negative
Call of Duty®: Black Ops II - Cyborg Personalization Pack,2013-06-28,Positive
The Apogee Throwback Pack,2013-07-01,Very Positive
Call of Duty®: Black Ops II - Paladin Personalization Pack,2013-06-28,6 user reviews
Interstellar Marines,2013-07-02,Mixed
"Resident Evil: Revelations Jessica's G18 + Custom Part: ""BSAA""",2013-06-18,Mixed
"Resident Evil: Revelations Jill's Samurai Edge + Custom Part: ""S.T.A.R.S.""",2013-06-18,Mixed
"Resident Evil: Revelations Parker's Government Handgun + Custom Part: ""FBC""",2013-06-18,Mixed
Train Simulator: BR Class 87 Loco Add-On,2013-06-20,Mostly Positive
Cities in Motion 2: Bus Mania,2013-06-20,1 user reviews
TrackMania² Stadium,2013-02-27,Very Positive
Painkiller Hell &amp; Damnation: Heaven's Above,2013-06-20,Mostly Positive
Fallen Enchantress: Legendary Heroes - Map Pack DLC,2013-06-20,5 user reviews
MotoGP™13,2013-06-20,Mixed
Magrunner: Dark Pulse,2013-06-20,Very Positive
Fist Puncher,2013-06-21,Mostly Positive
Hexodius,2013-06-21,Mixed
COH 2 - German Skin: (M) Three Color Ambush Pattern,2013-06-24,1 user reviews
COH 2 - Soviet Skin: (L) Three Color Northwestern Front,2013-06-24,2 user reviews
COH 2 - Soviet Skin: (H) Three Color Northwestern Front,2013-06-24,1 user reviews
COH 2 - German Skin: (H) Three Color Disruptive Pattern,2013-06-24,1 user reviews
COH 2 - German Skin: (H) Winter Ambush Pattern,2013-06-24,2 user reviews
COH 2 - German Skin: (H) Field Applied Whitewash Pattern,2013-06-24,1 user reviews
COH 2 - German Skin: (H) Late War Factory Pattern,2013-06-24,3 user reviews
COH 2 - Soviet Skin: (H) Two Tone Bryansk Front,2013-06-24,1 user reviews
COH 2 - Soviet Skin: (H) Three Color Leningrad Front,2013-06-24,1 user reviews
COH 2 - Soviet Skin: (H) Winter Cobblestone West Front,2013-06-24,2 user reviews
COH 2 - Soviet Skin: (M) Three Color Leningrad Front,2013-06-24,1 user reviews
COH 2 - Soviet Skin: (M) Three Color Northwestern Front,2013-06-24,1 user reviews
COH 2 - Soviet Skin: (L) Three Color Leningrad Front,2013-06-24,1 user reviews
COH 2 - German Skin: (M) Late War Factory Pattern,2013-06-24,1 user reviews
COH 2 - German Skin: (L) Late War Factory Pattern,2013-06-24,1 user reviews
COH 2 - Soviet Skin: (M) Winter Whitewash Voronezh Front,2013-06-24,1 user reviews
CoH 2 - German Commander: Joint Operations Doctrine,2013-06-24,3 user reviews
COH 2 - German Skin: (H) Three Color Ambush Pattern,2013-06-24,1 user reviews
CoH 2 - Soviet Commander: Anti-Infantry Tactics,2013-06-24,2 user reviews
CoH 2 - German Commander: Spearhead Doctrine,2013-06-24,7 user reviews
Joe Danger 2: The Movie,2013-06-24,Positive
Joe Danger,2013-06-24,Very Positive
Scrabble,2013-06-10,Mostly Positive
Risk,2013-06-10,Mixed
The Game of Life,2013-06-10,Mostly Negative
Battleship,2013-06-10,Mixed
Resident Evil: Revelations Rachael Ooze DLC,2013-06-10,Mostly Positive
Rocksmith - Tommy Tutone - 867-5309/Jenny,2013-05-28,nan
The Night of the Rabbit,2013-05-28,Very Positive
Rocksmith - Blondie - Call Me,2013-05-28,2 user reviews
Cubetractor,2013-05-29,Positive
GRID 2 - Car Unlock Pack,2013-06-11,Mostly Positive
Wargame: Airland Battle,2013-05-29,Very Positive
Train Simulator: Class A4 Pacifics Loco Add-On,2013-05-29,Positive
Resident Evil: Revelations Lady HUNK DLC,2013-06-10,Positive
Expeditions: Conquistador,2013-05-30,Mostly Positive
The Swapper,2013-05-30,Overwhelmingly Positive
Rising Storm Game of the Year Edition,2013-05-30,Very Positive
99 Spirits,2013-05-31,Mostly Positive
RPG Maker VX Ace - The Blackheart Power Music Pack,2013-06-03,6 user reviews
Fallen Enchantress: Legendary Heroes,2013-05-22,Mostly Positive
The Incredible Adventures of Van Helsing,2013-05-22,Very Positive
Skyward Collapse,2013-05-23,Mixed
Train Simulator: BR Class 31 Loco Add-On,2013-05-23,3 user reviews
Dollar Dash - More Ways to Win DLC,2013-05-21,nan
Dust: An Elysian Tail,2013-05-24,Overwhelmingly Positive
Element4l,2013-05-24,Very Positive
Super Puzzle Platformer Deluxe,2013-05-24,Very Positive
Rush Bros.,2013-05-24,Mixed
Call of Juarez® Gunslinger,2013-05-22,Overwhelmingly Positive
GRID 2 - Headstart Pack,2013-05-27,5 user reviews
Gunpoint,2013-06-03,Overwhelmingly Positive
GRID 2 - IndyCar Pack,2013-05-27,Mixed
GRID 2 - McLaren Racing Pack,2013-05-27,9 user reviews
GRID 2 - GTR Racing Pack,2013-05-27,Mostly Positive
GRID 2,2013-05-27,Very Positive
Crusader Kings II: Norse Unit Pack,2013-05-28,Mixed
Super Sanctum TD,2013-05-09,Very Positive
Aliens: Colonial Marines - Reconnaissance Pack,2013-05-07,nan
Aliens: Colonial Marines - Reconnaissance Pack,2013-05-07,Mostly Positive
System Shock 2,1999-08-11,Very Positive
Borderlands 2 - Psycho Pack,2013-05-14,Very Positive
Luxor 2 HD,2013-05-13,Positive
Train Simulator: DB BR423 EMU Add-On,2013-05-09,Mixed
Dishonored - Void Walker Arsenal,2013-05-14,Mostly Positive
Nancy Drew®: Ghost of Thornton Hall,2013-05-14,Positive
Rocksmith - Maroon 5 Song Pack,2013-05-14,1 user reviews
Rocksmith - Maroon 5 - Harder to Breathe,2013-05-14,nan
Rocksmith - Maroon 5 - She Will Be Loved,2013-05-14,nan
Anomaly 2 Soundtrack,2013-05-15,nan
Thunder Wolves,2013-05-15,Very Positive
Anomaly 2,2013-05-15,Very Positive
Receiver,2013-04-29,Very Positive
Leviathan: Warships,2013-04-30,Mixed
Rocksmith - Maroon 5 - Misery,2013-05-14,nan
Zeno Clash 2,2013-04-30,Mostly Positive
Rocksmith - The Pixies - Here Comes Your Man,2013-04-30,nan
Rocksmith - Survivor - Eye of the Tiger,2013-04-30,4 user reviews
Rocksmith - Billy Idol - White Wedding (Part 1),2013-04-30,1 user reviews
Jack Lumber,2013-04-30,Positive
Strike Suit Infinity,2013-04-30,Very Positive
FEZ,2013-05-01,Very Positive
FEZ Original Soundtrack,2013-05-01,Positive
Far Cry 3 - Blood Dragon,2013-05-01,Very Positive
Ragnarok Online 2,2013-05-01,Mixed
Mini Motor Racing EVO,2013-05-01,Mixed
Train Simulator: BR Class 101 DMU Add-On,2013-05-02,Positive
Omerta - City of Gangsters - The Arms Industry DLC,2013-05-03,1 user reviews
Might &amp; Magic: Heroes VI - Shades of Darkness,2013-05-02,5 user reviews
Trainz Simulator DLC: BR Class 14,2013-05-06,nan
Trainz Simulator DLC: Coronation Scot,2013-05-06,nan
QUBE: Against the Qlock,2013-05-06,3 user reviews
Victoria II: German Unit Pack,2013-04-22,Positive
Don't Starve Soundtrack,2013-04-23,Very Positive
Tomb Raider: Caves and Cliffs Multiplayer Map Pack,2013-04-23,Mostly Positive
Assassin’s Creed® III - The Tyranny of King Washington: The Redemption,2013-04-23,Mostly Negative
Monaco: What's Yours Is Mine,2013-04-24,Very Positive
Kairo,2013-04-24,Mostly Positive
Dyad,2013-04-24,Mostly Positive
Highborn - Chapter 2,2013-04-24,1 user reviews
Train Simulator: EWS &amp; Freightliner Class 08s Loco Add-On,2013-04-25,5 user reviews
The 39 Steps,2013-04-25,Very Positive
Darkfall Unholy Wars,2013-04-25,Mixed
Cry of Fear,2013-04-25,Very Positive
RE6 / BH6: Siege Mode,2013-04-25,Mostly Positive
Call of Duty®: Black Ops II - Dia de los Muertos Personalization Pack,2013-04-12,4 user reviews
Call of Duty®: Black Ops II - Graffiti Personalization Pack,2013-04-12,Positive
Call of Duty®: Black Ops II - Kawaii Personalization Pack,2013-04-12,Positive
Call of Duty®: Black Ops II - Nuketown Zombies Map,2013-04-12,Very Positive
Anna - Extended Edition,2013-04-12,Mixed
La-Mulana,2013-04-15,Very Positive
Call of Duty®: Black Ops II - Party Rock Personalization Pack,2013-04-12,9 user reviews
Dishonored - The Knife of Dunwall,2013-04-15,Very Positive
Rocksmith - Rise Against - The Good Left Undone,2013-04-16,nan
ORION: Prelude,2013-04-16,Mostly Positive
Rocksmith - The Vines - Get Free,2013-04-16,nan
Rocksmith - Modest Mouse - Float On,2013-04-16,nan
Victoria II: Heart of Darkness,2013-04-16,nan
Starseed Pilgrim,2013-04-16,Mostly Positive
Omerta - City of Gangsters - Damsel in Distress DLC,2013-04-16,4 user reviews
Sacred Citadel,2013-04-16,Mostly Positive
The Banner Saga: Factions - Starter Pack,2013-04-17,nan
The Banner Saga: Factions - Pillage! Pack,2013-04-17,1 user reviews
The Banner Saga: Factions - Eternal Renown Boost,2013-04-17,nan
Awesomenauts - Genji the Grey Skin,2013-04-09,7 user reviews
Magicka: Tower of Niflheim,2013-04-09,7 user reviews
Age of Empires II HD,2013-04-09,Very Positive
The Banner Saga: Factions - Variations Pack,2013-04-17,nan
ShootMania Storm,2013-04-10,Very Positive
Train Simulator: Marias Pass Route Add-On,2013-04-11,Positive
RE6 / BH6: Predator Mode,2013-04-11,Mostly Positive
RE6 / BH6: Survivors Mode,2013-04-11,Mixed
Call of Duty®: Black Ops II - Extra Slots Pack,2013-04-12,Mixed
Call of Duty®: Black Ops II - African Flags of the World Calling Card Pack,2013-04-12,4 user reviews
Call of Duty®: Black Ops II - Asian Flags of the World Calling Card Pack,2013-04-12,Positive
Call of Duty®: Black Ops II - European Flags of the World Calling Card Pack,2013-04-12,Positive
Call of Duty®: Black Ops II - South American Flags of the World Calling Card Pack,2013-04-12,6 user reviews
Tomb Raider: Guerilla Skin,2013-03-26,Positive
Tomb Raider: Aviatrix Skin,2013-03-26,Positive
Tomb Raider: Agility Skill,2013-03-26,Mixed
BioShock Infinite - Season Pass,2013-03-26,Very Positive
Sniper Ghost Warrior 2: Siberian Strike,2013-03-26,Mostly Positive
Bridge Project,2013-03-28,Mixed
Dungeon Hearts,2013-03-28,Mixed
DisplayFusion,2013-03-29,Very Positive
Kingdom Wars,2013-04-01,Mixed
Rocksmith - Allman Brothers Band Song Pack,2013-04-02,nan
Rocksmith - The Allman Brothers Band - Southbound,2013-04-02,nan
Rocksmith - Sweet - Ballroom Blitz,2013-04-02,nan
"Painkiller Hell &amp; Damnation: Operation ""Zombie Bunker""",2013-03-29,Positive
Cities in Motion 2,2013-04-02,Mixed
Rocksmith - Creedence Clearwater Revival - Have You Ever Seen the Rain?,2013-04-02,nan
Borderlands 2: Ultimate Vault Hunters Upgrade Pack,2013-04-02,Very Positive
Resident Evil 6 Wallpaper,2013-04-02,Very Positive
Warframe,2013-03-25,Very Positive
Ms. Splosion Man,2013-04-03,Very Positive
Waking Mars - Soundtrack,2013-03-25,4 user reviews
BioShock Infinite,2013-03-25,Overwhelmingly Positive
Tomb Raider: JAGD P22G,2013-03-26,Mostly Positive
Tomb Raider: Silverballer,2013-03-26,Mostly Positive
Tomb Raider: HX AP-15,2013-03-26,Mostly Positive
Tomb Raider: STG 58 Elite,2013-03-26,Mostly Positive
Tomb Raider: Animal Instinct,2013-03-26,Mixed
Tomb Raider: M590 12ga,2013-03-26,Mixed
Tomb Raider: Headshot Reticule,2013-03-26,Mixed
DLC Quest,2013-03-18,Very Positive
Shattered Haven,2013-03-18,Mixed
Ultratron,2013-03-18,Very Positive
Worms Armageddon,1999-05-31,Very Positive
Continent of the 9th Seal: Starter Pack,2013-03-19,1 user reviews
Aliens: Colonial Marines: Season Pass,2013-03-19,6 user reviews
Rocksmith - The Cure - The End of the World,2013-03-19,nan
Assassin’s Creed® III: The Betrayal,2013-03-19,Mostly Negative
Rocksmith - The Cure - Just Like Heaven,2013-03-19,nan
Aliens: Colonial Marines - Bug Hunt DLC,2013-03-19,Positive
Weird Worlds: Return to Infinite Space,2013-03-19,Mostly Positive
Organ Trail: Director's Cut,2013-03-19,Very Positive
Rocksmith - The Cure - Love Song,2013-03-19,nan
Rocksmith - The Cure Song Pack,2013-03-19,nan
Impire: Black and White Demons,2013-03-19,2 user reviews
Virtual DJ - Broadcaster Edition,2013-03-07,Mixed
Angry Birds Space,2013-03-07,Very Positive
Omerta - City of Gangsters - The Con Artist DLC,2013-03-08,7 user reviews
Sword of the Stars: The Pit,nan,Very Positive
Euro Truck Simulator,2008-08-06,Very Positive
Sniper: Ghost Warrior 2,2013-03-11,Mostly Positive
Sleeping Dogs - Year of the Snake,2013-03-12,Mixed
Awesomenauts - Coco McFly Skin,2013-03-13,5 user reviews
Dungeon-Party,2013-03-13,Mostly Negative
Go Home Dinosaurs!,2013-03-14,Very Positive
Awesomenauts - Bionic Raelynn Skin,2013-03-13,Positive
Train Simulator: AT&amp;N Consolidation Class 280-157 Loco Add-On,2013-03-14,Positive
Slam Bolt Scrappers,2013-03-14,8 user reviews
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien Soundtrack,2013-02-26,nan
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,2013-02-26,Very Positive
TrackMania² Canyon,2011-09-14,Very Positive
Star Conflict,2013-02-27,Mostly Positive
Star Conflict: Mercenary Pack - Galaxy Explorer,2013-02-27,9 user reviews
Star Conflict: Mercenary Pack - Elite Pilot,2013-02-27,Mostly Positive
Star Conflict: Mercenary Pack - Soldier of Fortune,2013-02-27,Positive
Champions of Regnum,2013-02-27,Mixed
Call of Duty®: Black Ops II - Revolution,2013-02-28,Very Positive
Call of Duty®: Black Ops II Season Pass,Feb 2013,1 user reviews
Sniper Elite: Nazi Zombie Army,2013-02-28,Very Positive
Train Simulator: EWS Class 66 v2.0 Loco Add-On,2013-02-28,7 user reviews
Awesomenauts - Kage Genji Skin,2013-02-28,5 user reviews
Armada 2526 Gold Edition,2013-02-28,Mixed
Rochard: Hard Times,2013-03-01,Positive
The Cave: Soundtrack,2013-03-01,1 user reviews
Tomb Raider,2013-03-04,Overwhelmingly Positive
RPG Maker VX Ace - DS Resource Pack,2013-03-05,Positive
The Showdown Effect,2013-03-05,Mixed
RPG Maker VX Ace - Samurai Resource Pack,2013-03-05,Positive
Zombie Driver HD Apocalypse Pack,2013-02-20,Positive
Sonic and All-Stars Racing Transformed: Metal Sonic &amp; Outrun DLC,2013-02-20,Positive
DmC Devil May Cry: Weapon Bundle,2013-02-20,Positive
DmC Devil May Cry: Bloody Palace Mode,2013-02-20,Very Positive
Train Simulator: London-Faversham High Speed Route Add-On,2013-02-21,Positive
Painkiller Hell &amp; Damnation: The Clock Strikes Meat Night,2013-02-22,Positive
Arma II: DayZ Mod,2013-02-21,Very Positive
Kentucky Route Zero,2013-02-22,Very Positive
The Bridge,2013-02-22,Very Positive
Age of Conan: Unchained,2013-02-22,Mostly Positive
The Banner Saga: Factions,2013-02-25,Mostly Positive
MUD Motocross World Championship,2013-02-26,Mixed
Sleeping Dogs: Wheels of Fury,2013-02-26,Positive
Brutal Legend,2013-02-26,Very Positive
Train Simulator: Norfolk Southern Heritage SD70ACes Loco Add-On,2013-02-07,Positive
Train Simulator: Norfolk Southern Heritage ES44ACs Loco Add-On,2013-02-07,Positive
Awesomenauts - Double-O Yuri Skin,2013-02-07,4 user reviews
Awesomenauts - Pimpy G. Skin,2013-02-07,5 user reviews
Primal Carnage - Agent Trapper DLC,2013-02-08,4 user reviews
A Game of Dwarves: Pets,2013-02-11,2 user reviews
RaceRoom Racing Experience,2013-02-12,Mixed
Rocksmith - The Clash - London Calling,2013-02-12,nan
Rocksmith - The Clash - Guns of Brixton,2013-02-12,nan
Rocksmith - The Clash Song-Pack,2013-02-12,nan
Rocksmith - The Clash - Should I Stay or Should I Go,2013-02-12,1 user reviews
Train Simulator: Southern Pacific GS-4 Loco Add-On,2013-02-14,Mostly Positive
Brutal Legend Soundtrack,2013-02-13,Positive
Sleeping Dogs: Law Enforcer Pack,2013-02-13,Mixed
Train Simulator: Freightliner Class 57/0 Loco Add-On,2013-02-14,Positive
Train Simulator: Southern Pacific SD45 Loco Add-On,2013-02-14,Positive
Ys I &amp; II Chronicles+,2013-02-14,Very Positive
Rocksmith - Fall Out Boy Song-Pack,2013-02-05,nan
Sniper Elite V2 - St. Pierre,2013-02-06,Mostly Positive
Bientôt l'été,2013-02-06,Mixed
Impire,2013-02-14,Mixed
Street Fighter X Tekken: Gems Assist 6,2013-02-06,nan
Street Fighter X Tekken: Gems Assist 5,2013-02-06,nan
Street Fighter X Tekken: Gems Assist 4,2013-02-06,nan
Street Fighter X Tekken: Gems Assist 3,2013-02-06,nan
Street Fighter X Tekken: TK Booster Pack 7,2013-02-06,nan
Street Fighter X Tekken: TK Booster Pack 8,2013-02-06,nan
Street Fighter X Tekken: TK Booster Pack 6,2013-02-06,nan
Street Fighter X Tekken: TK Booster Pack 4,2013-02-06,nan
Street Fighter X Tekken: TK Booster Pack 5,2013-02-06,nan
Street Fighter X Tekken: TK Booster Pack 3,2013-02-06,nan
Street Fighter X Tekken: SF Booster Pack 8,2013-02-06,nan
Street Fighter X Tekken: SF Booster Pack 6,2013-02-06,nan
Construct 2,2013-01-25,Very Positive
Painkiller Hell &amp; Damnation: Medieval Horror,2013-01-25,6 user reviews
Sleeping Dogs: Monkey King Pack,2013-01-29,6 user reviews
Rocksmith - Cheap Trick - Surrender,2013-01-29,nan
Mabinogi - Spiritual Healing Package,2013-01-29,7 user reviews
Rocksmith - Steppenwolf - Born to be Wild,2013-01-29,1 user reviews
Sleeping Dogs: Movie Masters Pack,2013-01-29,6 user reviews
Rocksmith - The Guess Who - American Woman,2013-01-29,nan
Primal Carnage - Pilot Commando DLC,2013-01-29,4 user reviews
DmC Devil May Cry: Costume Pack,2013-01-29,Positive
Proteus,2013-01-30,Mostly Positive
Train Simulator: Southern Pacific GE 44 Loco Add-On,2013-01-31,4 user reviews
Waveform Soundtrack,2013-01-31,7 user reviews
Sonic &amp; All-Stars Racing Transformed,2013-01-31,Overwhelmingly Positive
Antichamber,2013-01-31,Overwhelmingly Positive
Omerta - City of Gangsters,2013-01-31,Mixed
Borderlands 2: Mechromancer Madness Pack,2013-01-22,Mostly Positive
Hacker Evolution Duality: Inception Part 2 DLC,2013-01-31,nan
Borderlands 2: Mechromancer Domination Pack,2013-01-22,Positive
Borderlands 2: Gunzerker Supremacy Pack,2013-01-22,Positive
Borderlands 2: Assassin Madness Pack,2013-01-22,Positive
Borderlands 2: Assassin Domination Pack,2013-01-22,Positive
Borderlands 2: Assassin Supremacy Pack,2013-01-22,Very Positive
Borderlands 2: Mechromancer Supremacy Pack,2013-01-22,Very Positive
Borderlands 2: Siren Supremacy Pack,2013-01-22,Positive
Borderlands 2: Commando Madness Pack,2013-01-22,Positive
"The Sims 3 70's, 80's and 90's",2013-01-22,9 user reviews
Rocksmith - The Strokes Song Pack,2013-01-22,nan
Max Payne 3: Deathmatch Made In Heaven Pack,2013-01-22,Mixed
Rocksmith - The Strokes - Juicebox,2013-01-22,nan
Rocksmith - The Strokes - Last Nite,2013-01-22,nan
"10,000,000",2013-01-15,Very Positive
Expansion - Crusader Kings II: The Republic,2013-01-15,Mixed
Crusader Kings II: Songs of Prosperity,2013-01-15,5 user reviews
Borderlands 2: Sir Hammerlock’s Big Game Hunt,2013-01-15,Mixed
Crusader Kings II: Mediterranean Portraits,2013-01-15,Mixed
Rocksmith - Pearl Jam - Alive,2013-01-15,nan
Assassin’s Creed® III – The Battle Hardened Pack,2013-01-15,Mixed
Rocksmith - Eric Johnson - Cliffs of Dover,2013-01-15,5 user reviews
Rocksmith - Blind Melon - No Rain,2013-01-15,1 user reviews
Far Cry® 3 Deluxe Bundle DLC,2013-01-15,Mostly Positive
Rocksmith - Pearl Jam Song Pack,2013-01-15,nan
Euro Truck Simulator 2,2013-01-16,Overwhelmingly Positive
Baldur's Gate: Enhanced Edition,2013-01-16,Very Positive
Magicka: Free Jolnirs Workshop,2013-01-17,Positive
Tom Clancy's Ghost Recon Future Soldier® Raven Strike DLC,2013-01-17,Positive
Train Simulator: BR Class 422 ‘4BIG’ EMU Add-On,2013-01-17,5 user reviews
Rocksmith - Santana - Black Magic Woman,2013-01-08,nan
Rocksmith - Santana - Oye Como Va,2013-01-08,nan
Rocksmith - Santana Feat Rob Thomas - Smooth,2013-01-08,nan
Rocksmith - Santana Song Pack,2013-01-08,nan
Train Simulator: First Capital Connect Class 377 EMU Add-On,2013-01-17,Mixed
Train Simulator: Boston &amp; Maine GE 44 Loco Add-On,2013-01-17,1 user reviews
Magic: The Gathering - 2013 Deck Pack 3,2013-01-09,3 user reviews
Magic 2013 “Rogue’s Gallery” Foil Conversion,2013-01-09,nan
Magic 2013 “Mana Mastery” Foil Conversion,2013-01-09,1 user reviews
Magic 2013 “Mana Mastery” Deck Key,2013-01-09,1 user reviews
Magic 2013 “Rogue’s Gallery” Deck Key,2013-01-09,nan
The Journey Down: Chapter One,2013-01-09,Very Positive
Worms Ultimate Mayhem - Single Player Pack DLC,2013-01-09,Positive
Droid Assault,2013-01-09,Very Positive
Worms Ultimate Mayhem - Customization Pack DLC,2013-01-09,Positive
Rocksmith - Foo Fighters - Song Pack,2012-12-18,nan
Rocksmith - Foo Fighters - Best of You,2012-12-18,1 user reviews
Dragon Nest,2012-12-18,Mostly Positive
Awesomenauts - Cap'n Vinnie &amp; Seadog Spike Skin,2012-12-18,8 user reviews
"Magic 2013 ""Grim Procession"" Foil Conversion",2012-12-19,nan
"Magic 2013 ""Grim Procession"" Deck Key",2012-12-19,nan
"Magic 2013 ""Berserker Rage"" Foil Conversion",2012-12-19,nan
"Magic 2013 ""Berserker Rage"" Deck Key",2012-12-19,nan
BIT.TRIP.VOID Soundtrack,2012-12-19,1 user reviews
Silo 2,2012-12-19,Mostly Positive
BIT.TRIP VOID,2012-12-19,Mostly Positive
Sleeping Dogs: Zodiac Tournament,2012-12-19,Positive
Rocksmith - Nickelback - Rockstar,2012-12-11,nan
Rocksmith - Nickelback - Bottoms Up,2012-12-11,nan
Ace of Spades: Battle Builder,2012-12-12,Mixed
GTR 2 FIA GT Racing Game,2006-09-10,Very Positive
Train Simulator: Freightliner Class 66 v2.0 Loco Add-On,2012-12-12,Mostly Positive
Train Simulator: LNER Black Class A3 ‘Flying Scotsman’ Loco Add-On,2012-12-13,9 user reviews
Waking Mars,2012-12-13,Very Positive
Crusader Kings II: Russian Unit Pack,2012-12-13,Mixed
Crusader Kings II: Russian Portraits,2012-12-13,Mixed
Crusader Kings II: Songs of the Rus,2012-12-13,6 user reviews
Everquest ®,2012-12-13,Mostly Positive
Party of Sin Soundtrack,2012-12-13,nan
Party of Sin,2012-12-13,Mixed
Killing Floor - Golden Weapons Pack,2012-12-13,Positive
Killing Floor - Robot Special Character Pack,2012-12-13,Mostly Positive
Dead Pixels,2012-12-07,Very Positive
Train Simulator: Strathclyde Class 101 DMU Add-On,2012-12-06,9 user reviews
Sea Dogs: To Each His Own - Pirate Open World RPG,Dec 2012,Mostly Positive
Unity of Command - Red Turn DLC,2012-12-10,9 user reviews
Europa Universalis III: Revolution II Unit Pack,2012-12-10,nan
Europa Universalis III: Absolutism SpritePack,2012-12-10,nan
Europa Universalis III Music of the World,2012-12-10,1 user reviews
Test Drive: Ferrari Racing Legends,2012-12-10,Mixed
RPG Maker VX Ace,2012-12-10,Very Positive
Dishonored: Dunwall City Trials,2012-12-10,Mixed
Borderlands 2: Collector's Edition Pack,2012-12-11,Mostly Positive
ACDSee 15,2012-12-11,Mixed
