title,release_date,genres
WRC 5 - WRC eSports Pack 2,2016-04-04,['Racing']
1979 Revolution: Black Friday,2016-04-04,"['Adventure', 'Indie']"
Until I Have You,2016-04-04,['Indie']
Binaries,2016-04-04,"['Action', 'Indie']"
Music From Binaries,2016-04-04,"['Action', 'Indie']"
HunieCam Studio,2016-04-04,"['Indie', 'Simulation']"
nan,nan,nan
Womb Room,2016-04-04,['Simulation']
RAM BOE,2016-04-04,"['Casual', 'Indie']"
nan,nan,nan
nan,nan,nan
Fantasy Grounds - 5E: Fifth Edition Foes,2016-04-04,"['Indie', 'RPG', 'Strategy']"
nan,nan,nan
Tabletop Simulator - Tiny Epic Kingdoms + Heroes' Call,2016-04-04,"['Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']"
Tabletop Simulator - RARRR!!,2016-04-04,"['Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']"
Adam's Venture: Origins Special Edition DLC,2016-04-01,"['Adventure', 'Indie']"
nan,nan,nan
Daughter of Shadows: An SCP Breach Event,2015-06-26,"['Adventure', 'Indie', 'RPG']"
Epsilon corp.,2016-04-01,"['Action', 'Adventure', 'Indie']"
The Fleets of Sol,2016-04-01,"['Action', 'Indie', 'Strategy']"
Lup,2016-04-01,"['Action', 'Indie']"
CHKN,2016-04-01,"['Adventure', 'Casual', 'Indie', 'Early Access']"
Dinosaur Hunt - Wild West Guns Expansion Pack,2016-04-01,"['Action', 'Adventure', 'Indie', 'Simulation']"
Stikbold! A Dodgeball Adventure,2016-04-01,"['Action', 'Indie', 'Sports']"
Spheria,2016-04-01,"['Casual', 'Indie']"
Bleach The Movie: Memories of Nobody,2006-12-16,nan
Bleach The Movie 2: The DiamondDust Rebellion,2007-12-22,nan
Bleach The Movie: Hell Verse,2010-12-04,nan
Elements II: Hearts of Light,2016-04-01,"['Indie', 'RPG', 'Early Access']"
Bleach The Movie: Fade to Black,2008-12-13,nan
nan,nan,nan
Last Heroes 3,2016-04-01,"['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']"
The Slaughter: Act One,2016-01-28,"['Adventure', 'Indie']"
Run Rabbit Run - Soundtrack,2016-03-31,"['Action', 'Adventure', 'Indie', 'Simulation']"
Run Rabbit Run,2016-03-31,"['Action', 'Adventure', 'Indie', 'Simulation']"
Rewind,2016-03-31,['Indie']
Scapeland,2016-03-31,"['Action', 'Adventure', 'Casual', 'Indie']"
Insane,2016-03-31,"['Casual', 'Indie', 'Strategy']"
Rabi-Ribi - Digital Artbook,2016-03-31,"['Action', 'Adventure', 'Indie']"
Blue Sheep,2016-03-31,"['Action', 'Adventure', 'Indie']"
Moustache Mountain,2016-03-31,"['Action', 'Casual', 'Indie']"
Acaratus - Deluxe Upgrade,2016-03-31,"['Adventure', 'Indie', 'RPG', 'Strategy']"
Trackday Manager,2016-03-31,"['Racing', 'Simulation', 'Sports', 'Strategy']"
Soviet City,2016-03-31,"['Indie', 'Simulation', 'Strategy', 'Early Access']"
Baldur's Gate: Siege of Dragonspear,2016-03-31,"['RPG', 'Strategy']"
Rocket Shooter,2016-04-01,"['Action', 'Sports']"
Tokyo Babel,2016-03-31,['Adventure']
Catch a Falling Star,2016-03-30,"['Casual', 'Indie']"
Steno Arcade,2016-03-30,"['Casual', 'Free to Play', 'Indie', 'Early Access']"
[the Sequence],2016-03-30,['Indie']
nan,nan,nan
Leap of Fate,2016-03-30,nan
Bunker Punks,2016-03-30,"['Action', 'Indie', 'Early Access']"
The Inner Sea,2016-03-30,"['Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access']"
Epistory - Typing Chronicles,2016-03-30,"['Action', 'Adventure', 'Indie']"
Ninja Outbreak,2015-09-20,"['Action', 'Adventure', 'Indie']"
RollerCoaster Tycoon World™: Deluxe Edition,2016-11-16,"['Simulation', 'Strategy']"
Magical Eyes - Red is for Anguish,2016-03-30,"['Adventure', 'Indie']"
nan,nan,nan
nan,nan,nan
NOBUNAGA'S AMBITION: Souzou SR - “Mego Hime” Bushou Data,2016-03-30,['Strategy']
Mathoria: It All Adds Up,2014-12-27,"['Casual', 'Free to Play', 'Indie', 'RPG']"
Adorables,2016-03-30,"['Casual', 'Indie', 'Sports', 'Strategy']"
nan,nan,nan
Trial by Viking,2016-03-29,"['Action', 'Adventure', 'Indie']"
Parallels Cross,2016-03-30,"['Adventure', 'Casual', 'Indie']"
FORCED SHOWDOWN,2016-03-29,"['Action', 'Indie', 'RPG', 'Strategy']"
Tasty Planet: Back for Seconds,2016-03-29,"['Action', 'Adventure', 'Casual', 'Indie']"
XenoShyft,2016-03-29,"['Casual', 'Indie', 'Strategy']"
XenoShyft - NorTec Elite,2016-03-29,"['Casual', 'Indie', 'Strategy']"
FORCED SHOWDOWN - Deluxe Edition Content,2016-03-29,"['Action', 'Indie', 'RPG', 'Strategy']"
XenoShyft - Grafting Lab,2016-03-29,"['Casual', 'Indie', 'Strategy']"
XenoShyft - Psychogenics Lab,2016-03-29,"['Casual', 'Indie', 'Strategy']"
XenoShyft - The Hive Expansion,2016-03-29,"['Casual', 'Indie', 'Strategy']"
Tower Unite Dedicated Server,2016-03-29,nan
Fire With Fire Tower Attack and Defense,2016-03-29,"['Casual', 'Free to Play', 'Indie', 'Strategy', 'Early Access']"
Naotora Ii Debut Costume Set,2016-03-28,['Action']
Shake Your Money Simulator 2016,2016-03-18,"['Indie', 'Simulation']"
NightCry,2016-03-28,"['Adventure', 'Indie']"
NightCry Artbook,2016-03-28,"['Adventure', 'Indie']"
NightCry Soundtrack,2016-03-28,"['Adventure', 'Indie']"
The Last Door Season 2 Soundtrack,2016-03-29,['Adventure']
The Last Door: Season 2 - Collector's Edition,2016-03-29,['Adventure']
R.B.I. Baseball 16,2016-03-29,['Sports']
NightCry Storyboards,2016-03-28,"['Adventure', 'Indie']"
nan,nan,nan
Angry Video Game Nerd II: ASSimilation,2016-03-29,"['Action', 'Adventure', 'Indie']"
Cube Land Arena,2016-03-29,"['Indie', 'Strategy', 'Early Access']"
To Ash,2016-03-29,"['Indie', 'RPG']"
STAR WARS™: Rebel Assault I + II,1993-10-16,"['Action', 'Simulation']"
STAR WARS™: Rogue Squadron 3D,1998-12-03,"['Action', 'Simulation']"
Edgar,2016-03-29,"['Action', 'Adventure', 'Casual', 'Indie']"
Tiltagon,2016-03-29,"['Action', 'Casual', 'Indie']"
Hypersensitive Bob,2016-03-29,"['Action', 'Adventure', 'Casual', 'Indie']"
Cold Darkness Awakened,2016-03-29,"['Action', 'Adventure']"
Angry Video Game Nerd II: ASSimilation - Soundtrack,2016-03-29,nan
1993 Space Machine,2016-03-28,"['Action', 'Indie']"
The Deer,2015-12-02,"['Adventure', 'Indie']"
nan,nan,nan
The Deer - Soundtrack,2016-03-28,"['Adventure', 'Indie']"
nan,nan,nan
Bezier - Original Soundtrack,2016-03-28,"['Action', 'Indie']"
Awakening: The Redleaf Forest Collector's Edition,2016-03-28,"['Adventure', 'Casual']"
nan,nan,nan
My Lady,2016-01-14,"['Casual', 'Indie', 'Simulation']"
Space Drifters 2D,2016-03-28,['Indie']
nan,nan,nan
Lost Cosmonaut,2016-03-25,"['Action', 'Indie']"
WolfQuest Music Extras,2016-02-22,"['RPG', 'Simulation']"
MiniGolf Mania,2016-03-25,"['Casual', 'Sports']"
Forestry 2017 - The Simulation,2016-03-25,['Simulation']
Spectrubes,2016-03-25,"['Adventure', 'Indie']"
Mysterious Castle,2016-03-25,"['Adventure', 'Casual']"
RPG Maker MV - Pop! Horror City: Character Pack 2,2016-03-25,"['Design &amp; Illustration', 'Web Publishing']"
Survarium - Steam Starter Pack,2016-03-23,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']"
Survarium - Vepr 'Molot' Pack,2016-03-23,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']"
RPG Maker MV - Heist Music Pack,2016-03-25,"['Design &amp; Illustration', 'Web Publishing']"
RPG Maker MV - Medieval: Interiors,2016-03-25,"['Design &amp; Illustration', 'Web Publishing']"
RPG Maker MV - Katakura Hibiki's Lords of Darkness,2016-03-25,"['Design &amp; Illustration', 'Web Publishing']"
RPG Maker MV - Medieval: Town &amp; Country,2016-03-25,"['Design &amp; Illustration', 'Web Publishing']"
RPG Maker MV - Pop! Horror City: Character Pack 1,2016-03-25,"['Design &amp; Illustration', 'Web Publishing']"
RPG Maker MV - Pop! Horror City,2016-03-25,"['Design &amp; Illustration', 'Web Publishing']"
Of Carrots And Blood,2016-03-25,"['Action', 'Casual', 'Indie']"
Pertinence,2016-03-25,"['Action', 'Adventure', 'Indie']"
I Am Caligula,2016-03-25,"['Indie', 'RPG', 'Simulation', 'Strategy']"
Dispatcher - Arts,2016-03-25,"['Action', 'Adventure', 'Indie']"
nan,nan,nan
Hydra Slayer,2016-03-24,"['RPG', 'Strategy']"
Fantasy Grounds - Call of Cthulhu: Secrets of New Orleans,2016-03-24,"['Indie', 'RPG', 'Strategy']"
Benji Challenges,2016-03-24,"['Action', 'Adventure']"
Fibbage XL,2016-03-24,"['Casual', 'Indie', 'Strategy']"
Holodrive,2016-03-24,"['Action', 'Free to Play', 'Indie', 'Early Access']"
BattleStorm,2016-03-24,"['Action', 'Casual', 'Indie']"
Jelly Killer,2016-03-24,"['Action', 'Adventure', 'Casual', 'Indie']"
Lost girl`s [diary],2016-03-25,['Free to Play']
Slain: Back from Hell,2016-03-24,"['Action', 'Indie']"
Slain: Back from Hell - Deluxe Edition DLC,2016-03-24,"['Action', 'Indie']"
A Lenda do Herói - O Herói desta Canção,2016-03-24,"['Adventure', 'Casual', 'Indie']"
TANE DLC: C&amp;O 2-6-6-6 H8 - New River Mining Coal Run,2016-03-24,['Simulation']
Heartomics: Slime &amp; Friends,2016-03-24,['Casual']
Cellar,2016-03-23,"['Action', 'Adventure', 'Casual', 'Indie']"
Solstice,2016-03-23,"['Adventure', 'Indie', 'RPG']"
WolfQuest,2015-11-17,"['Indie', 'RPG', 'Simulation']"
Fantasy Grounds - 5E: Shattered Heart Adventure Path (5E): Crucible of Faith,2016-03-23,"['Indie', 'RPG', 'Strategy']"
Airstrike HD,2016-03-23,"['Casual', 'Indie']"
Solstice OST + Bonus Content,2016-03-23,"['Adventure', 'Indie', 'RPG']"
NOBUNAGA'S AMBITION: Souzou SR - “Miura Anjin” Bushou Data,2016-03-23,['Strategy']
NOBUNAGA'S AMBITION: Souzou SR - “Oyamada Shigemasa” “Muramatsu Dono” Bushou Data,2016-03-23,['Strategy']
NOBUNAGA'S AMBITION: Sphere of Influence - Ascension / 信長の野望･創造 戦国立志伝,2016-03-23,['Strategy']
NOBUNAGA'S AMBITION: Souzou SR - “RTK13” 30 Face CG Set,2016-03-23,['Strategy']
Tiny Guardians,2016-03-24,"['Adventure', 'Indie', 'Strategy']"
Tiny Guardians - Alternative Appearance Bundle,2016-03-24,"['Adventure', 'Indie', 'Strategy']"
The Sea Will Claim Everything,2016-03-24,"['Adventure', 'Indie']"
The Descendant: Rest of Season,2016-03-24,"['Adventure', 'Casual', 'Indie']"
The Descendant,2016-03-24,"['Adventure', 'Casual', 'Indie']"
LostWinds,2016-03-24,['Adventure']
Lost Lands: The Golden Curse,2016-03-24,"['Adventure', 'Casual']"
LostWinds 2: Winter of the Melodias,2016-03-24,['Adventure']
Wolcen: Lords of Mayhem,2016-03-24,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']"
MS - 5★ Emma Package,2016-03-22,"['Action', 'Casual', 'Indie']"
Far Cry® Primal - Wenja Pack,2016-03-23,"['Action', 'Adventure']"
Disposable Heroes,2015-10-01,"['Action', 'Adventure', 'Casual', 'Indie']"
Way of the Samurai 3 - Accessory Set,2016-03-23,"['Action', 'Adventure']"
Way of the Samurai 3 - Weapon Set,2016-03-23,"['Action', 'Adventure']"
Way of the Samurai 3 - Head and Outfit set,2016-03-23,"['Action', 'Adventure']"
Professional Farmer 2017,2016-03-23,['Simulation']
Heroes of The West,2016-03-23,['Action']
Bacteria,2016-03-23,"['Casual', 'Indie']"
Zombie Gotchi,2016-03-23,"['Casual', 'Indie', 'Simulation', 'Early Access']"
Bacteria Soundtrack,2016-03-23,"['Casual', 'Indie']"
Bacteria Collector's Edition Content,2016-03-23,"['Casual', 'Indie']"
"Don't Die Dateless, Dummy!",2016-03-21,"['Adventure', 'Indie', 'Simulation']"
Fallout 4 Season Pass,2016-03-21,['RPG']
Fallout 4 - Automatron,2016-03-21,['RPG']
Day of the Tentacle Remastered,2016-03-21,['Adventure']
Crystal Chip Collector,2014-08-16,"['Action', 'Indie']"
Polaris Sector,2016-03-22,"['Simulation', 'Strategy']"
Out of the Park Baseball 17,2016-03-22,"['Indie', 'Simulation', 'Sports', 'Strategy']"
AMOK,2016-03-21,"['Action', 'Adventure', 'Indie']"
Tom Clancy's Rainbow Six® Siege - Ruby Weapon Skin,2016-03-22,['Action']
Capitalism Plus,1995-10-31,"['Simulation', 'Strategy']"
Seven Kingdoms: Ancient Adversaries,1998-06-08,['Strategy']
Way of the Samurai 3,2016-03-23,"['Action', 'Adventure']"
Rocksmith® 2014 – Imagine Dragons - “Radioactive,2016-03-22,"['Casual', 'Simulation']"
Brick Inventions,2016-03-23,"['Indie', 'Simulation']"
Rocksmith® 2014 – Imagine Dragons - “Demons”,2016-03-22,"['Casual', 'Simulation']"
Wind Child,2016-03-18,"['Adventure', 'Casual', 'Indie', 'RPG']"
The Next Door,2016-03-22,"['Adventure', 'Casual', 'Indie']"
Soup: the Game,2016-03-14,"['Action', 'Indie', 'Simulation', 'Strategy', 'Early Access']"
Discouraged Workers TEEN,2015-11-24,"['Adventure', 'Indie']"
Khan: Absolute Power,2016-03-18,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']"
bit Dungeon+,2016-03-10,"['Indie', 'RPG']"
Vaccine War,2016-03-21,"['Action', 'Adventure', 'Indie']"
Heathen Engineering's Terran,2016-03-21,"['Action', 'Indie', 'RPG', 'Strategy', 'Early Access']"
Piggy Princess,2016-03-18,"['Action', 'Casual', 'Indie']"
Mystic Destinies: Serendipity of Aeons - Shou Epilogue,2016-03-21,"['Adventure', 'Casual', 'Indie', 'Simulation']"
Spaceman Sparkles 3,2016-03-21,['Action']
Drift Into Eternity Demo,2016-03-20,"['Action', 'Adventure', 'Indie']"
Nexus: The Jupiter Incident Soundtrack,2016-03-21,"['Indie', 'Simulation', 'Strategy']"
VACCINE WAR - Soundtrack,2016-03-21,"['Action', 'Adventure', 'Indie']"
Alchemist's Awakening,2016-03-21,"['Action', 'Indie', 'Early Access']"
Hidden Mysteries: Titanic,2012-01-01,['Casual']
Hyperdimension Neptunia U Difficult Quest,2016-03-21,"['Action', 'RPG']"
Hyperdimension Neptunia U: Action Unleashed,2016-03-21,"['Action', 'RPG']"
Hyperdimension Neptunia U Bonus Quest,2016-03-21,"['Action', 'RPG']"
Dark Parables: The Little Mermaid and the Purple Tide Collector's Edition,2016-03-21,"['Adventure', 'Casual']"
Congo,2016-03-21,"['Action', 'Indie']"
Fall of Gyes,2016-03-18,"['Adventure', 'Casual', 'Indie']"
Sébastien Loeb Rally EVO - Season Pass,2016-03-18,"['Racing', 'Simulation', 'Sports']"
Sébastien Loeb Rally EVO - Class S The Prototypes,2016-03-18,"['Racing', 'Simulation', 'Sports']"
Hiragana Pixel Party Original + Extra Soundtracks,2016-03-18,"['Casual', 'Indie']"
Helen's Mysterious Castle,2016-03-18,"['Casual', 'Indie', 'RPG']"
Hiragana Pixel Party,2016-03-18,"['Casual', 'Indie']"
War Birds: WW2 Air strike 1942,2016-03-18,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']"
Big Journey to Home - Collection of Builds,2016-03-18,"['Indie', 'RPG', 'Strategy']"
Game Changers,2016-03-18,nan
Square's Route,2016-03-18,['Indie']
Heaven Island VR MMO - Paradisac Soundtrack,2016-03-18,"['Adventure', 'Indie', 'Massively Multiplayer']"
Bell Ringer,2016-03-06,"['Action', 'Indie']"
Roses and Gems,2016-03-18,"['Action', 'Indie', 'Early Access']"
PRiO,2016-03-18,"['Action', 'Adventure', 'Indie']"
Samphi,2016-03-18,"['Indie', 'RPG', 'Early Access']"
One Man Is Not No Man,2016-03-18,"['Action', 'Indie']"
Hyper Box,2016-03-16,['Indie']
The Warden,2016-03-18,"['Adventure', 'Indie']"
ASCII Attack Soundtrack,2016-03-16,"['Action', 'Indie']"
ASCII Attack,2016-03-16,"['Action', 'Indie']"
FSX: Steam Edition - Twentynine Palms Airport Add-On,2016-03-17,['Simulation']
FSX: Steam Edition - Palo Alto Airport Add-On,2016-03-17,['Simulation']
Pharaoh Rebirth+,2016-03-17,"['Action', 'Adventure', 'Indie']"
TS Marketplace: YQA Super Tench Wagon Pack,2016-03-17,['Simulation']
Cosmic Leap,2016-03-17,"['Action', 'Indie']"
XCOM 2: Anarchy's Children,2016-03-17,['Strategy']
Victory and Glory: Napoleon,2016-03-17,['Strategy']
Rock 'N' Roll Defense: Soundtrack,2016-03-17,"['Action', 'Adventure', 'Strategy']"
MechaNika - Original Soundtrack,2016-03-17,"['Adventure', 'Indie']"
Music Pack - Music for Code EP,2016-03-17,"['Indie', 'Strategy']"
Tiny Knight,2016-03-17,"['Adventure', 'Casual', 'Indie']"
nan,nan,nan
Black Rose,2016-03-12,"['Adventure', 'Free to Play', 'Indie']"
ARSLAN - Skill Card Set 2,2016-03-15,['Action']
ARSLAN - Wall Paper Set 3,2016-03-15,['Action']
Dinosaur Hunt - Giant Spiders Hunter Expansion Pack,2016-03-16,"['Action', 'Adventure', 'Indie', 'Simulation']"
ARSLAN - Scenario Set 4,2016-03-15,['Action']
"My Tower, My Home",2016-03-16,"['Action', 'Indie', 'RPG', 'Strategy']"
Dinosaur Hunt - WW2 War Expansion Pack,2016-03-16,"['Action', 'Adventure', 'Indie', 'Simulation']"
Nanobots,2016-03-15,"['Action', 'Casual', 'Indie', 'Strategy']"
Dinosaur Hunt - Brontosaurus Expansion Pack,2016-03-16,"['Action', 'Adventure', 'Indie', 'Simulation']"
The Renegades of Orion 2.0 - Revenge DLC #1,2016-03-16,"['Action', 'Casual', 'Indie']"
Terror Lab,2016-03-19,"['Adventure', 'Indie']"
Prison Run and Gun,2016-03-16,"['Action', 'Indie']"
Nil-Ninjahtic: Ronin,2016-03-16,"['Action', 'Indie']"
Hustle Cat,2016-03-16,"['Casual', 'Indie']"
Hustle Cat - Soundtrack,2016-03-15,"['Casual', 'Indie']"
DGU - Midterm Mania,2016-03-14,"['Action', 'Adventure', 'Indie', 'Strategy']"
DGU - Finals Week,2016-03-14,"['Action', 'Adventure', 'Indie', 'Strategy']"
"METAL GEAR ONLINE ""BATTLE APPEAL PACK""",2016-03-15,"['Action', 'Adventure']"
"METAL GEAR ONLINE ""HERO APPEAL PACK""",2016-03-15,"['Action', 'Adventure']"
"METAL GEAR ONLINE ""DANCE APPEAL PACK""",2016-03-15,"['Action', 'Adventure']"
"METAL GEAR ONLINE ""BASIC APPEAL PACK""",2016-03-15,"['Action', 'Adventure']"
Mech Anarchy,2016-03-15,"['Action', 'Indie', 'Early Access']"
"METAL GEAR ONLINE EXPANSION PACK ""CLOAKED IN SILENCE""",2016-03-15,"['Action', 'Adventure']"
Serafina's Crown,2015-05-26,"['Adventure', 'Indie']"
Serafina's Crown - Original Soundtrack,2016-03-15,"['Adventure', 'Indie']"
World's Fastest Pizza,2016-03-15,"['Action', 'Indie', 'Simulation']"
Odesi Music Composition,2016-03-15,"['Audio Production', 'Utilities']"
Candlelight,2016-03-15,"['Action', 'Adventure', 'Indie']"
Rocksmith® 2014 – Collective Soul - “Shine”,2016-03-15,"['Casual', 'Simulation']"
Dynetzzle Extended,2016-03-15,"['Casual', 'Indie']"
Assault on Arnhem,2016-03-11,['Strategy']
Demesne,2016-03-11,"['Adventure', 'Indie', 'Simulation', 'Early Access']"
Mars 2030,2016-03-11,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']"
Generic Space Shooter,2016-03-11,"['Action', 'Indie']"
Thank You For Playing: Iconic Video Game Magazines,2016-03-01,nan
Lost Lands: Mahjong,2016-03-14,"['Adventure', 'Casual', 'Free to Play']"
Chicken Invaders 2 - Christmas Edition,2016-03-14,"['Action', 'Casual', 'Indie']"
Season of 12 Colors,2016-03-14,"['Adventure', 'Casual', 'Indie']"
Elemental Heroes - Upgrade All Storages to 10th Level,2016-03-14,"['Free to Play', 'Massively Multiplayer', 'RPG', 'Strategy']"
Elemental Heroes - Fill Resources Storages to 100%,2016-03-14,"['Free to Play', 'Massively Multiplayer', 'RPG', 'Strategy']"
Out There Somewhere,2016-03-14,"['Action', 'Adventure', 'Indie']"
SPATIAL SOUND CARD,2016-03-13,"['Audio Production', 'Utilities']"
One way to exit,2016-03-12,"['Action', 'Casual', 'Indie']"
Out There Somewhere - Soundtrack,2016-03-14,"['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy']"
There's Poop In My Soup,2016-03-14,"['Casual', 'Indie']"
Alice's Lullaby: Episode 2,2018-03-22,"['Action', 'Adventure', 'Indie']"
Space Moth DX Original Soundtrack,2016-03-09,"['Action', 'Indie']"
Rush for gold: California,2016-03-09,"['Casual', 'Strategy']"
nan,nan,nan
Tropical Fish Shop 2,2012-02-10,['Casual']
Beat Da Beat,2016-03-10,['Indie']
"Warhammer 40,000: Armageddon - Golgotha",2016-03-10,['Strategy']
The Treasures of Montezuma 5,2015-12-28,['Casual']
FaceRig Trials Fusion DLC,2016-03-10,"['Animation &amp; Modeling', 'Video Production']"
The Secret Order 3: Ancient Times,2016-03-10,"['Adventure', 'Casual']"
"Upwards, Lonely Robot",2016-03-10,"['Adventure', 'Casual', 'Indie']"
Warhammer: End Times - Vermintide Last Stand,2016-03-10,"['Action', 'Indie']"
In Search of the Most Dangerous Town on the Internet: Where Cybercrime Goes to Hide,2016-03-10,nan
Rock Paper Scissors Champion - Soundtrack,2016-03-10,"['Casual', 'Free to Play', 'Sports']"
Cologne,2016-03-01,"['Action', 'Indie', 'Racing']"
12 is Better Than 6 Art Book,2016-03-07,"['Action', 'Indie']"
Bellflower,2016-03-10,nan
Moon Hunters,2016-03-10,"['Adventure', 'Indie', 'RPG']"
WWE 2K16,2016-03-10,"['Simulation', 'Sports']"
Farming Simulator 15 - HOLMER,2016-03-10,['Simulation']
Caravanserail,2016-02-26,"['Indie', 'Simulation']"
Moon Hunters - Soundtrack,2016-03-10,"['Adventure', 'Indie', 'RPG']"
Deathsmiles,2016-03-10,"['Action', 'Indie']"
Deathsmiles OST,2016-03-10,"['Action', 'Indie']"
RPG Maker MV - Deathsmiles Set,2016-03-10,"['Design &amp; Illustration', 'Web Publishing']"
Fantasy Grounds - 5E: Fifth Edition Feats,2016-03-10,"['Indie', 'RPG', 'Strategy']"
RPG Maker VX Ace - Deathsmiles Set,2016-03-10,"['Design &amp; Illustration', 'Web Publishing']"
DUAL GEAR,2018,"['Action', 'Indie', 'Simulation', 'Strategy']"
"Gremlins, Inc.",2016-03-10,"['Indie', 'Strategy']"
Ares Omega,2016-03-11,"['Action', 'Indie', 'RPG']"
Train Simulator: BR Class 58 Loco Add-On,2016-03-11,['Simulation']
Leviathan: The Last Day of the Decade - Soundtrack,2016-03-14,"['Adventure', 'Indie']"
Poly Bridge Soundtrack,2016-03-10,"['Indie', 'Simulation']"
Magic Potion Explorer,2016-03-11,"['Casual', 'Indie', 'RPG', 'Strategy']"
Rocksmith® 2014 – Flyleaf - “I’m So Sick”,2016-03-08,"['Casual', 'Simulation']"
Rocksmith® 2014 – Hole - “Celebrity Skin”,2016-03-08,"['Casual', 'Simulation']"
Rocksmith® 2014 – The Pretty Reckless - Heaven Knows,2016-03-08,"['Casual', 'Simulation']"
Rocksmith® 2014 – Women Who Rock Song Pack,2016-03-08,"['Casual', 'Simulation']"
StarDrive 2: Sector Zero,2016-03-08,"['Indie', 'Strategy']"
Jump Tanks Digital Artbook,2016-03-08,"['Action', 'Indie']"
FortressCraft Evolved: Skin Pack #1,2016-03-08,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']"
Shardlight - Bonus Content,2016-03-08,"['Adventure', 'Indie', 'RPG']"
Jump Tanks Original Soundtrack,2016-03-08,"['Action', 'Indie']"
Jump Tanks,2016-03-08,"['Action', 'Indie', 'Early Access']"
Ultimate Chicken Horse,2016-03-04,"['Action', 'Adventure', 'Casual', 'Indie']"
Tom Clancy's Rainbow Six® Siege - Amethyst Weapon Skin,2016-03-08,['Action']
Kingdom Wars 2: Battles,2016-03-04,"['Indie', 'Simulation', 'Strategy']"
Chicken Invaders 2,2016-03-04,"['Action', 'Casual', 'Indie']"
Into the Stars - Digital Deluxe,2016-03-04,"['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy']"
Into the Stars,2016-03-04,"['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy']"
Magnetic,2016-03-04,nan
12 O'Clock Boys,2014-01-31,nan
Switchcars,2016-03-04,"['Action', 'Indie', 'Racing', 'Early Access']"
Football Club Simulator - FCS 18,2017-11-03,"['Simulation', 'Sports', 'Strategy']"
Spellbind : Luppe's tale,2016-03-04,"['Adventure', 'Casual', 'Indie']"
Frontier,2016-03-04,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']"
Rabiez: Epidemic,2016-03-04,"['Indie', 'Strategy']"
Story of a Cube,2016-03-04,"['Action', 'Adventure', 'Indie']"
Story of a Cube Soundtrack,2016-03-04,"['Action', 'Adventure', 'Indie']"
Gyrodisc Super League,2016-03-04,"['Action', 'Indie', 'Sports', 'Early Access']"
Red Risk,2016-03-04,"['Action', 'Casual', 'Indie', 'Strategy']"
Mind Games,2016-03-04,['Indie']
Red Risk (Soundtrack),2016-03-04,['Casual']
Paper Train Traffic,2016-03-04,"['Casual', 'Indie', 'Simulation']"
Space Pilgrim Episode IV: Sol,2016-03-04,"['Adventure', 'Indie']"
AsteroidsHD,2016-03-04,"['Action', 'Casual', 'Indie', 'Simulation', 'Early Access']"
Graviteam Tactics: Mius-Front,2016-03-04,"['Simulation', 'Strategy']"
MS - 5★ Becky BOX,2016-03-07,"['Action', 'Casual', 'Indie']"
Mystica: The Ninth Society,2016-03-07,"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']"
Blades of the Righteous,2016-03-06,"['Casual', 'Indie', 'Strategy']"
Warhammer: End Times - Vermintide Schluesselschloss,2016-03-07,"['Action', 'Indie']"
GTGD S3 How To Make A Game,2016-03-07,"['Education', 'Software Training']"
World Defense : A Fragmented Reality Game,2016-03-07,"['Casual', 'Indie', 'Strategy']"
eMedia Guitar Method,2016-03-07,['Education']
eMedia Interactive Rock Guitar,2016-03-07,"['Audio Production', 'Education']"
Robo's World: The Zarnok Fortress,2016-03-07,"['Action', 'Indie']"
ASMR Universe,2016-03-03,['Utilities']
E.T. Armies,2016-03-03,['Action']
Endorlight - Soundtrack,2016-03-03,"['Adventure', 'Casual', 'Indie']"
Legend of Moros,2015-05-21,"['Indie', 'RPG', 'Strategy']"
The Bottom of the Well,2016-01-25,"['Free to Play', 'RPG']"
Chasing Dead,2016-03-03,"['Action', 'Adventure', 'Indie']"
! That Bastard Is Trying To Steal Our Gold !,2016-03-01,"['Action', 'Adventure', 'Casual', 'Indie']"
Drip Drip,2016-02-25,"['Casual', 'Indie', 'Strategy']"
Undead vs Plants,2016-02-25,"['Action', 'Adventure', 'Casual', 'Indie']"
Battle Crust,2016-02-25,"['Action', 'Indie']"
On My Own,2016-02-26,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
LiEat,2016-02-26,"['Indie', 'RPG']"
Huenison,2013-07-12,"['Action', 'Casual', 'Indie']"
Sébastien Loeb Rally EVO - Rallycross Pack,2016-02-26,"['Racing', 'Simulation', 'Sports']"
